absolute_magnitude,est_dia_in_km_max,epoch_date_close_approach,relative_velocity_km_per_hr,miss_dist_astronomical,orbit_uncertainity,minimum_orbit_intersection,epoch_osculation,eccentricity,semi_major_axis,inclination,asc_node_longitude,perihelion_distance,mean_anomaly,hazardous
21.6,0.2844722965,788947200000,22017.003799315,0.4194825299,5,0.0252819,2458000.5,0.4255490832802685,1.407011302712976,6.025981287138329,314.3739134134077,0.808258932678493,264.8375332988031,True
21.3,0.3266178974,788947200000,65210.3460948409,0.3830144627,3,0.186935,2458000.5,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,0.7181996160227876,173.7411119891742,False
20.3,0.5176544822,789552000000,27326.5601819679,0.0509560159,0,0.0430579,2458000.5,0.3482482617619956,1.458823814474811,4.237961002947924,259.4759789450263,0.950790956866954,292.8936537794408,True
27.4,0.0196806745,790156800000,40225.948191338,0.2853223297,6,0.0055118,2458000.5,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,0.9839015669723666,68.74100661777578,False
21.6,0.2844722965,790156800000,35426.9917941048,0.4078321707,1,0.034798,2458000.5,0.2104479432284866,1.225614736618327,16.79338165999116,84.62930679460825,0.9676866361064762,135.1421326756292,True
19.6,0.7145621017,790156800000,38911.83825064,0.3927847844,1,0.272213,2458000.5,0.5634410734978924,1.323532179970776,17.92775064011703,178.9719507770034,0.5777997876790363,354.2373683433312,False
19.6,0.7145621017,790156800000,38911.829716462,0.392783196,1,0.272213,2458000.5,0.5634411100746358,1.323532161963902,17.92774837902645,178.9719525667907,0.5777997314074783,354.237396160877,False
19.2,0.8590926012,790761600000,87918.7823817199,0.1291791611,0,0.0987582,2458000.5,0.4497627959965093,1.237474536298783,34.69512745281478,112.5629844130883,0.6809045288785588,186.7769322776995,False
17.8,1.6369672047,790761600000,62545.6218132504,0.3582829267,0,0.109354,2458000.5,0.2381790104348694,1.145550849266033,22.21521029077527,80.21113209162255,0.8727046815850249,182.2364315309588,False
21.5,0.2978790628,790761600000,46438.5949989635,0.1518057418,0,0.0169065,2458000.5,0.551388806833007,0.8761253667964827,2.059576978010798,2.613682368506762,0.3930396461624395,119.8613823033982,True
22.4,0.1968067451,790761600000,80716.918732587,0.2010399884,6,3.17965e-4,2458000.5,0.4758194774081156,0.8138767249034949,23.18568668072357,117.1112240445536,0.4266183269852852,5.556806412851552,False
25.8,0.0411187571,790761600000,62188.6012700346,0.4310155871,4,0.00186378,2458000.5,0.2048406780030454,1.240789317594743,13.7442332087249,161.933518574421,0.9866251925196996,46.68495944704712,False
25,0.0594346868,790761600000,43626.6358322947,0.3598014121,6,0.0187898,2458000.5,0.326860711970322,0.9302337444493961,8.333753551706272,20.49127086505545,0.626176880439848,66.77697673554127,False
19.1,0.8995803882,792230400000,38987.734642195,0.4306559914,0,0.214004,2458000.5,0.1493579627014401,1.32292378805863,21.26523155355708,122.4368331936925,1.1253345862649211,15.23187454710148,False
18.8,1.0328564805,792230400000,142579.1804929074,0.3009631412,0,0.102643,2458000.5,0.8610933305709985,1.982738584288127,10.02263604097735,163.2099234123562,0.2754156130918373,37.51725738061909,False
25.2,0.0542050786,792230400000,90760.6389007836,0.4959739922,6,0.0119773,2458000.5,0.4416943551013883,0.8375570081279065,19.76759210755226,243.614950945384,0.4676128055622026,96.60735473164922,False
20,0.5943468684,792835200000,11120.4141428446,0.2388244997,0,0.240288,2458000.5,0.3775493600967308,1.9581542595004089,5.660561156228656,112.1644170272148,1.218854371855342,82.35082442826075,False
21,0.3750075218,792835200000,72069.2709657714,0.4780869949,1,0.0984179,2458000.5,0.4527922930841961,0.907864592986423,8.278695740027688,114.3798292883882,0.4967905021181501,36.16756328615697,False
22.3,0.2060819612,792835200000,30694.755039371,0.4612592433,3,0.0259126,2458000.5,0.2597323195329087,1.16651991571092,5.035044225594919,28.8520216092119,0.8635369922219897,179.6031185576674,False
22.7,0.1714115092,792835200000,28510.2865608238,0.1072710745,4,0.0525422,2458000.5,0.1514158524079464,0.9137303163513598,5.860414922890069,177.8573023304907,0.7753770616300362,203.9869515937405,False
26.1,0.0358129403,792835200000,16759.7229360863,0.2554883015,5,0.018587,2458000.5,0.1714328826365063,0.9391389588534731,11.94779476707688,229.0663217594457,0.7781396599409749,314.5094251287649,False
20.6,0.4508582062,792835200000,7791.7422557238,0.4228501583,2,0.183818,2458000.5,0.4074703521368719,1.978471308901617,4.06169556322702,142.2597510835389,1.172302907970777,15.11056876015708,False
21.7,0.2716689341,793440000000,102308.2353404514,0.0485413736,1,0.0128745,2453548.5,0.8684189074961081,0.9067337425159876,4.035074270183858,342.7842082321538,0.1193090164503963,303.9792986106828,True
23.9,0.0986370281,793440000000,37985.471179349,0.0197382264,3,0.0109543,2458000.5,0.3988200079942557,1.35791927755497,3.854342068985657,341.218636234598,0.8163539004249429,54.31490079465933,False
23.9,0.0986370281,793440000000,63233.6675491447,0.4340489593,1,0.0453154,2458000.5,0.3973810059711997,0.9403258403908947,11.6076647207195,195.3700872141465,0.5666582119956471,255.1877435084699,False
21.3,0.3266178974,793440000000,69203.3956488727,0.1020481263,4,0.0140066,2458000.5,0.2494248827236086,1.183993437388868,35.2402424959676,149.1565598893367,0.8886760131226273,141.0296511750646,True
